case_id,reported_date,case_type,subject_ar,case_summary_ar,handling_unit,case_status
CASE-01793,2025-05-07,استخدام غير مصرح للأنظمة,تحقيق في تسريب مسودة مذكرة تفاهم مع شريك خارجي,تسريب مسودة مذكرة تفاهم قبل توقيعها رسميًا. المرجع CASE-2025-9391 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,مغلق
CASE-01794,2020-07-20,مخالفة مشتريات,تحقيق في احتيال مالي بقيمة تقديرية 23 مليون ريال,تحقيق داخلي في معاملات مالية غير مبررة وتوصيات الإحالة. المرجع CASE-2020-3562 · الجهة المعنية: الشؤون القانونية.,الشؤون القانونية,محال للجهة المختصة
CASE-01795,2023-06-28,مخالفة تعاقدية,قضية تمويل مشبوه مرتبط بشبكة خارجية,إحالة إلى الجهات الأمنية بعد رصد نمط تمويل يتصل بأنشطة استخبارات. المرجع CASE-2023-2851 · الجهة المعنية: الموارد البشرية.,الموارد البشرية,قيد المراجعة القانونية
CASE-01796,2026-02-06,استخدام غير مصرح للأنظمة,طلب إجازة طبي ممتدة - التخطيط والتطوير,ملف طبي داعم لطلب إجازة ممتدة لأحد المنسوبين. المرجع CASE-2026-8482 · الجهة المعنية: إدارة المخاطر.,,مغلق
CASE-01797,2022-03-11,إساءة استخدام صلاحيات,تحقيق في تسريب مسودة مذكرة تفاهم مع شريك خارجي,تسريب مسودة مذكرة تفاهم قبل توقيعها رسميًا. المرجع CASE-2022-8003 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,بانتظار الرد
CASE-01798,2024-06-26,مخالفة تعاقدية,ملف مراجعة خاصة رقم SR-2024-492,مراجعة خاصة بتوجيه من اللجنة مع حظر التداول حتى صدور النتيجة. المرجع CASE-2024-8890 · الجهة المعنية: الشؤون القانونية.,الشؤون القانونية,بانتظار الرد
CASE-01799,2019-11-21,استخدام غير مصرح للأنظمة,قضية تسريب الميزانية الاستراتيجية قبل الاعتماد,تسريب أرقام الميزانية الاستراتيجية إلى جهة خارجية قبل اعتمادها. المرجع CASE-2019-2475 · الجهة المعنية: مكتب حماية المبلّغين.,مكتب حماية المبلّغين,قيد التحقيق
CASE-01800,2022-03-01,إساءة استخدام صلاحيات,منشور سياسة السلوك المهني - إدارة المخاطر 2022,منشور عام يوضح مبادئ السلوك المهني المعتمدة. المرجع CASE-2022-8973 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,مغلق
CASE-01801,2019-03-31,بلاغ مبلّغ,قضية اشتباه تجسس إلكتروني على منصة التحليلات المؤسسية,تعاون مع جهات استخبارات وطنية بشأن نشاط تجسس مشتبه به. المرجع CASE-2019-9871 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,قيد التحقيق
CASE-01802,2023-06-16,مخالفة مشتريات,ملف مراجعة خاصة رقم SR-2023-792,مراجعة خاصة بتوجيه من اللجنة مع حظر التداول حتى صدور النتيجة. المرجع CASE-2023-4658 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,بانتظار الرد
CASE-01803,2024-07-07,مخالفة مشتريات,ملف مراجعة خاصة رقم SR-2024-432,مراجعة خاصة بتوجيه من اللجنة مع حظر التداول حتى صدور النتيجة. المرجع CASE-2024-5135 · الجهة المعنية: الأمانة العامة.,الأمانة العامة,قيد التحقيق
CASE-01804,2019-03-09,تعارض مصالح,تحقيق في تلاعب بسجلات الاعتماد في مركز البيانات الاحتياطي,تحقيق في تعديل غير مصرح لسجلات الاعتماد المالي. المرجع CASE-2019-1327 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,قيد التحقيق
CASE-01805,2024-11-12,مخالفة سلوك مهني,تحقيق في تواطؤ محتمل بين موردي قطاع الأعمال المؤسسية,تحقيق في مؤشرات تنسيق أسعار بين موردين في منافسة مغلقة. المرجع CASE-2024-7336 · الجهة المعنية: الموارد البشرية.,الموارد البشرية,بانتظار الرد
CASE-01806,2021-05-25,استخدام غير مصرح للأنظمة,قضية تعارض مصالح في ترسية برنامج التوسع الإقليمي,قضية تعارض مصالح بين عضو لجنة وأحد الموردين المتنافسين. المرجع CASE-2021-5179 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,مغلق
CASE-01807,2022-12-03,مخالفة مشتريات,قضية تمويل مشبوه مرتبط بشبكة خارجية,إحالة إلى الجهات الأمنية بعد رصد نمط تمويل يتصل بأنشطة استخبارات. المرجع CASE-2022-1511 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,مغلق
CASE-01808,2023-09-05,تسريب معلومات,بلاغ مبلّغ عن مخالفات في ضبط الجودة,تحقيق سري في بلاغ مبلّغ مع حماية هويته وفق السياسة. المرجع CASE-2023-5935 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,مغلق
CASE-01809,2020-03-28,استخدام غير مصرح للأنظمة,قضية تمويل مشبوه مرتبط بشبكة خارجية,إحالة إلى الجهات الأمنية بعد رصد نمط تمويل يتصل بأنشطة استخبارات. المرجع CASE-2020-1006 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,منتهي بتوصيات
CASE-01810,2019-08-01,مخالفة سلوك مهني,ملف محال للجهة العليا رقم HC-2019-83,ملف محال لجهة عليا لارتباطه بمواقع ومنشآت وطنية محددة. المرجع CASE-2019-7403 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,قيد التحقيق
CASE-01811,2025-03-15,بلاغ مبلّغ,تحقيق في تلاعب بسجلات الاعتماد في منصة الاجتماعات المؤمّنة,تحقيق في تعديل غير مصرح لسجلات الاعتماد المالي. المرجع CASE-2025-5157 · الجهة المعنية: مكتب حماية المبلّغين.,مكتب حماية المبلّغين,قيد التحقيق
CASE-01812,2024-04-02,استخدام غير مصرح للأنظمة,تحقيق في محاولة الوصول إلى سجلات تحركات القوات,محاولة موظف الوصول إلى سجلات تحركات القوات دون تصريح. المرجع CASE-2024-1671 · الجهة المعنية: الموارد البشرية.,الموارد البشرية,بانتظار الرد
CASE-01813,2022-08-14,إساءة استخدام صلاحيات,تحقيق في تسريب مسودة مذكرة تفاهم مع شريك خارجي,تسريب مسودة مذكرة تفاهم قبل توقيعها رسميًا. المرجع CASE-2022-3948 · الجهة المعنية: مكتب حماية المبلّغين.,مكتب حماية المبلّغين,مغلق
CASE-01814,2019-09-25,استخدام غير مصرح للأنظمة,مذكرة داخلية بشأن ضبط الحضور في التشغيل,مذكرة داخلية تنظيمية حول التزام الحضور والانصراف. المرجع CASE-2019-8973 · الجهة المعنية: الموارد البشرية.,الموارد البشرية,قيد المراجعة القانونية
CASE-01815,2024-04-29,تسريب معلومات,تحقيق في تسريب مسودة مذكرة تفاهم مع شريك خارجي,تسريب مسودة مذكرة تفاهم قبل توقيعها رسميًا. المرجع CASE-2024-8226 · الجهة المعنية: الموارد البشرية.,الموارد البشرية,قيد المراجعة القانونية
CASE-01816,2021-10-10,تعارض مصالح,ملف مراجعة خاصة رقم SR-2021-985,مراجعة خاصة بتوجيه من اللجنة مع حظر التداول حتى صدور النتيجة. المرجع CASE-2021-6413 · الجهة المعنية: الشؤون القانونية.,الشؤون القانونية,منتهي بتوصيات
CASE-01817,2019-07-28,مخالفة سلوك مهني,قضية تعارض مصالح في ترسية برنامج تحديث البنية التقنية,قضية تعارض مصالح بين عضو لجنة وأحد الموردين المتنافسين. المرجع CASE-2019-7918 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,بانتظار الرد
CASE-01818,2019-10-01,تعارض مصالح,ملخص مواجهة أطراف في الملف رقم MF-2019-698,محضر مواجهة يتضمن إفادات أطراف قد ترتب مسؤولية نظامية. المرجع CASE-2019-5951 · الجهة المعنية: الأمانة العامة.,الأمانة العامة,منتهي بتوصيات
CASE-01819,2021-07-13,تعارض مصالح,مذكرة داخلية بشأن ضبط الحضور في الموارد البشرية,مذكرة داخلية تنظيمية حول التزام الحضور والانصراف. المرجع CASE-2021-7238 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,بانتظار الرد
CASE-01820,2019-05-22,مخالفة تعاقدية,قضية تمويل مشبوه مرتبط بشبكة خارجية,إحالة إلى الجهات الأمنية بعد رصد نمط تمويل يتصل بأنشطة استخبارات. المرجع CASE-2019-4244 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,محال للجهة المختصة
CASE-01821,2022-01-04,مخالفة مشتريات,طلب تصحيح بيانات هوية في سجل الموظفين,طلب تصحيح حقول هوية وبيانات تواصل في السجل. المرجع CASE-2022-5085 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,مغلق
CASE-01822,2024-02-17,احتيال مالي,بلاغ عن تسريب بيانات تخص منشأة حيوية وطنية,بلاغ داخلي عن نقل وثائق تخص منشأة حيوية إلى جهة غير مصرح لها. المرجع CASE-2024-2311 · الجهة المعنية: الشؤون القانونية.,الشؤون القانونية,محال للجهة المختصة
CASE-01823,2022-04-11,مخالفة مشتريات,بلاغ مبلّغ عن مخالفات في تقنية المعلومات,تحقيق سري في بلاغ مبلّغ مع حماية هويته وفق السياسة. المرجع CASE-2022-8256 · الجهة المعنية: وحدة مكافحة الاحتيال.,وحدة مكافحة الاحتيال,بانتظار الرد
CASE-01824,2022-09-08,استخدام غير مصرح للأنظمة,تحقيق في احتيال مالي بقيمة تقديرية 14 مليون ريال,تحقيق داخلي في معاملات مالية غير مبررة وتوصيات الإحالة. المرجع CASE-2022-3745 · الجهة المعنية: وحدة مكافحة الاحتيال.,وحدة مكافحة الاحتيال,قيد المراجعة القانونية
CASE-01825,2019-01-26,إساءة استخدام صلاحيات,مراجعة استراتيجية لمخاطر الالتزام في قطاع التحول الرقمي,مراجعة استراتيجية لمخاطر التزام قد تؤدي إلى غرامات تنظيمية. المرجع CASE-2019-3738 · الجهة المعنية: الأمانة العامة.,الأمانة العامة,منتهي بتوصيات
CASE-01826,2025-09-12,تعارض مصالح,تحقيق في تلاعب بسجلات الاعتماد في نظام التخطيط المؤسسي,تحقيق في تعديل غير مصرح لسجلات الاعتماد المالي. المرجع CASE-2025-5688 · الجهة المعنية: الشؤون القانونية.,الشؤون القانونية,منتهي بتوصيات
CASE-01827,2020-05-19,مخالفة مشتريات,بلاغ مبلّغ عن مخالفات في التشغيل,تحقيق سري في بلاغ مبلّغ مع حماية هويته وفق السياسة. المرجع CASE-2020-5239 · الجهة المعنية: الشؤون القانونية.,الشؤون القانونية,محال للجهة المختصة
CASE-01828,2020-11-07,احتيال مالي,بلاغ عن مخالفة في التعامل مع مواد أسلحة خاضعة للرقابة,مخالفة إجراءات مناولة أسلحة ومواد خاضعة للرقابة داخل موقع تشغيلي. المرجع CASE-2020-8496 · الجهة المعنية: الموارد البشرية.,الموارد البشرية,قيد التحقيق
CASE-01829,2021-10-21,مخالفة تعاقدية,تحقيق في مخالفة تعاقدية مع منظمة إقليمية,تحقيق في إخلال ببنود تعاقدية قد يرتب مطالبات مالية كبيرة. المرجع CASE-2021-3037 · الجهة المعنية: الشؤون القانونية.,الشؤون القانونية,محال للجهة المختصة
CASE-01830,2019-07-10,تسريب معلومات,مراجعة استراتيجية لمخاطر الالتزام في قطاع العمليات,مراجعة استراتيجية لمخاطر التزام قد تؤدي إلى غرامات تنظيمية. المرجع CASE-2019-5140 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,قيد التحقيق
CASE-01831,2021-11-20,مخالفة تعاقدية,مراجعة استراتيجية لمخاطر الالتزام في قطاع العمليات,مراجعة استراتيجية لمخاطر التزام قد تؤدي إلى غرامات تنظيمية. المرجع CASE-2021-8383 · الجهة المعنية: الشؤون القانونية.,الشؤون القانونية,قيد التحقيق
CASE-01832,2022-02-03,إساءة استخدام صلاحيات,قضية تسريب الميزانية الاستراتيجية قبل الاعتماد,تسريب أرقام الميزانية الاستراتيجية إلى جهة خارجية قبل اعتمادها. المرجع CASE-2022-7769 · الجهة المعنية: الشؤون القانونية.,الشؤون القانونية,منتهي بتوصيات
CASE-01833,2024-07-08,تعارض مصالح,تحقيق في مخالفة تعاقدية مع شريك تقني عالمي,تحقيق في إخلال ببنود تعاقدية قد يرتب مطالبات مالية كبيرة. المرجع CASE-2024-2361 · الجهة المعنية: الشؤون القانونية.,الشؤون القانونية,بانتظار الرد
CASE-01834,2025-02-16,بلاغ مبلّغ,قضية تعارض مصالح في ترسية برنامج الحوسبة السيادية,قضية تعارض مصالح بين عضو لجنة وأحد الموردين المتنافسين. المرجع CASE-2025-5631 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,منتهي بتوصيات
CASE-01835,2024-03-30,مخالفة مشتريات,تحقيق في تلاعب بسجلات الاعتماد في بوابة الموردين الإلكترونية,تحقيق في تعديل غير مصرح لسجلات الاعتماد المالي. المرجع CASE-2024-1061 · الجهة المعنية: مكتب حماية المبلّغين.,مكتب حماية المبلّغين,محال للجهة المختصة
CASE-01836,2022-11-03,استخدام غير مصرح للأنظمة,قضية اشتباه تجسس إلكتروني على مركز البيانات الرئيسي,تعاون مع جهات استخبارات وطنية بشأن نشاط تجسس مشتبه به. المرجع CASE-2022-9164 · الجهة المعنية: وحدة مكافحة الاحتيال.,وحدة مكافحة الاحتيال,قيد المراجعة القانونية
CASE-01837,2021-07-06,مخالفة تعاقدية,طلب إجازة طبي ممتدة - الشؤون القانونية,ملف طبي داعم لطلب إجازة ممتدة لأحد المنسوبين. المرجع CASE-2021-6843 · الجهة المعنية: الأمانة العامة.,الأمانة العامة,قيد التحقيق
CASE-01838,2023-01-10,تعارض مصالح,ملخص مواجهة أطراف في الملف رقم MF-2023-907,محضر مواجهة يتضمن إفادات أطراف قد ترتب مسؤولية نظامية. المرجع CASE-2023-3023 · الجهة المعنية: الموارد البشرية.,الموارد البشرية,مغلق
CASE-01839,2022-01-24,مخالفة مشتريات,بلاغ مبلّغ عن مخالفات في ضبط الجودة,تحقيق سري في بلاغ مبلّغ مع حماية هويته وفق السياسة. المرجع CASE-2022-5781 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,قيد التحقيق
CASE-01840,2023-12-27,إساءة استخدام صلاحيات,تحقيق في تسريب مسودة مذكرة تفاهم مع شريك خارجي,تسريب مسودة مذكرة تفاهم قبل توقيعها رسميًا. المرجع CASE-2023-5921 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,بانتظار الرد
CASE-01841,2022-08-05,تسريب معلومات,تحقيق في تلاعب بسجلات الاعتماد في مركز البيانات الاحتياطي,تحقيق في تعديل غير مصرح لسجلات الاعتماد المالي. المرجع CASE-2022-3900 · الجهة المعنية: الأمانة العامة.,الأمانة العامة,منتهي بتوصيات
CASE-01842,2021-04-15,بلاغ مبلّغ,تحقيق في احتيال مالي بقيمة تقديرية 36 مليون ريال,تحقيق داخلي في معاملات مالية غير مبررة وتوصيات الإحالة. المرجع CASE-2021-5698 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,قيد المراجعة القانونية
CASE-01843,2021-03-25,استخدام غير مصرح للأنظمة,بلاغ مبلّغ عن مخالفات في ضبط الجودة,تحقيق سري في بلاغ مبلّغ مع حماية هويته وفق السياسة. المرجع CASE-2021-7299 · الجهة المعنية: الشؤون القانونية.,الشؤون القانونية,محال للجهة المختصة
CASE-01844,2019-05-03,استخدام غير مصرح للأنظمة,قضية استخدام غير مصرح لبيانات مواقع تخزين تشغيلية,استخراج قوائم مواقع تخزين تشغيلية دون تصريح. المرجع CASE-2019-3677 · الجهة المعنية: الأمانة العامة.,الأمانة العامة,محال للجهة المختصة
CASE-01845,2021-11-19,مخالفة مشتريات,اعتراض على احتساب راتب موظف في الموارد البشرية,طلب مراجعة احتساب راتب وبدلات لموظف واحد. المرجع CASE-2021-3897 · الجهة المعنية: الشؤون القانونية.,الشؤون القانونية,محال للجهة المختصة
CASE-01846,2020-03-28,تعارض مصالح,قضية استخدام غير مصرح لبيانات مواقع تخزين تشغيلية,استخراج قوائم مواقع تخزين تشغيلية دون تصريح. المرجع CASE-2020-8392 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,مغلق
CASE-01847,2024-08-28,احتيال مالي,إحصاءات البلاغات المغلقة - قطاع الشراكات الربع الأول 2024,إحصاءات مجمّعة عن أعداد البلاغات دون أي تفاصيل تعريفية. المرجع CASE-2024-7413 · الجهة المعنية: الموارد البشرية.,الموارد البشرية,قيد المراجعة القانونية
CASE-01848,2020-08-30,تسريب معلومات,اعتراض على احتساب راتب موظف في المشتريات,طلب مراجعة احتساب راتب وبدلات لموظف واحد. المرجع CASE-2020-3066 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,قيد المراجعة القانونية
CASE-01849,2021-07-02,بلاغ مبلّغ,بلاغ عن تسريب بيانات تخص منشأة حيوية وطنية,بلاغ داخلي عن نقل وثائق تخص منشأة حيوية إلى جهة غير مصرح لها. المرجع CASE-2021-9896 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,مغلق
CASE-01850,2025-08-12,تسريب معلومات,ملف محال للجهة العليا رقم HC-2025-39,ملف محال لجهة عليا لارتباطه بمواقع ومنشآت وطنية محددة. المرجع CASE-2025-3561 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,بانتظار الرد
CASE-01851,2025-09-23,تعارض مصالح,ملف محال للجهة العليا رقم HC-2025-89,ملف محال لجهة عليا لارتباطه بمواقع ومنشآت وطنية محددة. المرجع CASE-2025-4540 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,قيد المراجعة القانونية
CASE-01852,2021-06-01,احتيال مالي,ملخص مواجهة أطراف في الملف رقم MF-2021-972,محضر مواجهة يتضمن إفادات أطراف قد ترتب مسؤولية نظامية. المرجع CASE-2021-1932 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,مغلق
CASE-01853,2023-05-17,مخالفة تعاقدية,بلاغ مبلّغ عن مخالفات في المالية,تحقيق سري في بلاغ مبلّغ مع حماية هويته وفق السياسة. المرجع CASE-2023-1048 · الجهة المعنية: وحدة مكافحة الاحتيال.,وحدة مكافحة الاحتيال,بانتظار الرد
CASE-01854,2024-02-08,تعارض مصالح,قضية إساءة استخدام معلومات داخلية في قطاع الخدمات الرقمية,قضية استخدام معلومات غير معلنة لتحقيق منفعة شخصية. المرجع CASE-2024-9699 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,محال للجهة المختصة
CASE-01855,2025-12-02,مخالفة تعاقدية,ملف مراجعة خاصة رقم SR-2025-906,مراجعة خاصة بتوجيه من اللجنة مع حظر التداول حتى صدور النتيجة. المرجع CASE-2025-5373 · الجهة المعنية: الشؤون القانونية.,الشؤون القانونية,بانتظار الرد
CASE-01856,2026-05-05,تسريب معلومات,ملخص مواجهة أطراف في الملف رقم MF-2026-600,محضر مواجهة يتضمن إفادات أطراف قد ترتب مسؤولية نظامية. المرجع CASE-2026-5660 · الجهة المعنية: الموارد البشرية.,الموارد البشرية,محال للجهة المختصة
CASE-01857,2019-03-22,تعارض مصالح,قضية تسريب الميزانية الاستراتيجية قبل الاعتماد,تسريب أرقام الميزانية الاستراتيجية إلى جهة خارجية قبل اعتمادها. المرجع CASE-2019-1513 · الجهة المعنية: الموارد البشرية.,,محال للجهة المختصة
CASE-01858,2021-06-11,مخالفة سلوك مهني,قضية اشتباه تجسس إلكتروني على نظام إدارة الأصول التقنية,تعاون مع جهات استخبارات وطنية بشأن نشاط تجسس مشتبه به. المرجع CASE-2021-6371 · الجهة المعنية: مكتب حماية المبلّغين.,مكتب حماية المبلّغين,قيد التحقيق
CASE-01859,2024-03-14,مخالفة تعاقدية,قضية تعارض مصالح في ترسية برنامج المدن الذكية,قضية تعارض مصالح بين عضو لجنة وأحد الموردين المتنافسين. المرجع CASE-2024-9524 · الجهة المعنية: الشؤون القانونية.,الشؤون القانونية,قيد المراجعة القانونية
CASE-01860,2024-04-23,مخالفة سلوك مهني,قضية تسريب الميزانية الاستراتيجية قبل الاعتماد,تسريب أرقام الميزانية الاستراتيجية إلى جهة خارجية قبل اعتمادها. المرجع CASE-2024-4038 · الجهة المعنية: وحدة مكافحة الاحتيال.,وحدة مكافحة الاحتيال,مغلق
CASE-01861,2023-01-21,استخدام غير مصرح للأنظمة,تحقيق في تواطؤ محتمل بين موردي قطاع الخدمات الرقمية,تحقيق في مؤشرات تنسيق أسعار بين موردين في منافسة مغلقة. المرجع CASE-2023-9738 · الجهة المعنية: الشؤون القانونية.,الشؤون القانونية,قيد التحقيق
CASE-01862,2022-02-16,احتيال مالي,قضية تعارض مصالح في ترسية برنامج التوسع الإقليمي,قضية تعارض مصالح بين عضو لجنة وأحد الموردين المتنافسين. المرجع CASE-2022-3167 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,قيد المراجعة القانونية
CASE-01863,2022-06-23,مخالفة سلوك مهني,منشور سياسة السلوك المهني - المالية 2022,منشور عام يوضح مبادئ السلوك المهني المعتمدة. المرجع CASE-2022-6170 · الجهة المعنية: الشؤون القانونية.,الشؤون القانونية,مغلق
CASE-01864,2023-07-31,تسريب معلومات,تحقيق في تسريب مسودة مذكرة تفاهم مع شريك خارجي,تسريب مسودة مذكرة تفاهم قبل توقيعها رسميًا. المرجع CASE-2023-9075 · الجهة المعنية: وحدة مكافحة الاحتيال.,وحدة مكافحة الاحتيال,قيد التحقيق
CASE-01865,2022-02-23,مخالفة تعاقدية,قضية تسريب الميزانية الاستراتيجية قبل الاعتماد,تسريب أرقام الميزانية الاستراتيجية إلى جهة خارجية قبل اعتمادها. المرجع CASE-2022-9133 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,قيد المراجعة القانونية
CASE-01866,2024-01-19,تسريب معلومات,تحقيق في تواطؤ محتمل بين موردي قطاع العمليات,تحقيق في مؤشرات تنسيق أسعار بين موردين في منافسة مغلقة. المرجع CASE-2024-3431 · الجهة المعنية: وحدة مكافحة الاحتيال.,وحدة مكافحة الاحتيال,مغلق
CASE-01867,2026-03-28,مخالفة مشتريات,بلاغ مبلّغ عن مخالفات في المالية,تحقيق سري في بلاغ مبلّغ مع حماية هويته وفق السياسة. المرجع CASE-2026-5936 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,محال للجهة المختصة
CASE-01868,2024-07-27,بلاغ مبلّغ,تحقيق في تواطؤ محتمل بين موردي قطاع الخدمات الرقمية,تحقيق في مؤشرات تنسيق أسعار بين موردين في منافسة مغلقة. المرجع CASE-2024-2049 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,منتهي بتوصيات
CASE-01869,2023-02-27,احتيال مالي,ملخص مواجهة أطراف في الملف رقم MF-2023-515,محضر مواجهة يتضمن إفادات أطراف قد ترتب مسؤولية نظامية. المرجع CASE-2023-3552 · الجهة المعنية: الموارد البشرية.,الموارد البشرية,محال للجهة المختصة
CASE-01870,2024-06-01,مخالفة تعاقدية,بلاغ مبلّغ عن مخالفات في المشتريات,تحقيق سري في بلاغ مبلّغ مع حماية هويته وفق السياسة. المرجع CASE-2024-1879 · الجهة المعنية: مكتب حماية المبلّغين.,مكتب حماية المبلّغين,محال للجهة المختصة
CASE-01871,2024-04-02,بلاغ مبلّغ,تحقيق في تواطؤ محتمل بين موردي قطاع التقنية والمشاريع,تحقيق في مؤشرات تنسيق أسعار بين موردين في منافسة مغلقة. المرجع CASE-2024-4602 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,قيد التحقيق
CASE-01872,2025-12-22,مخالفة سلوك مهني,ملف مراجعة خاصة رقم SR-2025-455,مراجعة خاصة بتوجيه من اللجنة مع حظر التداول حتى صدور النتيجة. المرجع CASE-2025-3649 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,مغلق
CASE-01873,2019-06-27,مخالفة تعاقدية,ملخص مواجهة أطراف في الملف رقم MF-2019-720,محضر مواجهة يتضمن إفادات أطراف قد ترتب مسؤولية نظامية. المرجع CASE-2019-6798 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,قيد المراجعة القانونية
CASE-01874,2022-11-17,بلاغ مبلّغ,قضية إساءة استخدام معلومات داخلية في قطاع التقنية والمشاريع,قضية استخدام معلومات غير معلنة لتحقيق منفعة شخصية. المرجع CASE-2022-5113 · الجهة المعنية: الشؤون القانونية.,الشؤون القانونية,محال للجهة المختصة
CASE-01875,2021-06-25,تسريب معلومات,تحقيق في تسريب مسودة مذكرة تفاهم مع شريك خارجي,تسريب مسودة مذكرة تفاهم قبل توقيعها رسميًا. المرجع CASE-2021-6802 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,قيد التحقيق
CASE-01876,2021-11-13,مخالفة مشتريات,تحقيق في تلاعب بسجلات الاعتماد في نظام النسخ الاحتياطي المركزي,تحقيق في تعديل غير مصرح لسجلات الاعتماد المالي. المرجع CASE-2021-6853 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,مغلق
CASE-01877,2023-01-30,مخالفة مشتريات,مراجعة استراتيجية لمخاطر الالتزام في قطاع التحول الرقمي,مراجعة استراتيجية لمخاطر التزام قد تؤدي إلى غرامات تنظيمية. المرجع CASE-2023-1756 · الجهة المعنية: الشؤون القانونية.,الشؤون القانونية,منتهي بتوصيات
CASE-01878,2026-01-29,إساءة استخدام صلاحيات,قضية تسريب الميزانية الاستراتيجية قبل الاعتماد,تسريب أرقام الميزانية الاستراتيجية إلى جهة خارجية قبل اعتمادها. المرجع CASE-2026-8485 · الجهة المعنية: الشؤون القانونية.,الشؤون القانونية,بانتظار الرد
CASE-01879,2020-04-01,احتيال مالي,تحقيق في تلاعب بسجلات الاعتماد في بوابة المدفوعات الوطنية,تحقيق في تعديل غير مصرح لسجلات الاعتماد المالي. المرجع CASE-2020-6451 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,محال للجهة المختصة
CASE-01880,2019-04-26,استخدام غير مصرح للأنظمة,تحقيق في مخالفة تعاقدية مع شريك تقني عالمي,تحقيق في إخلال ببنود تعاقدية قد يرتب مطالبات مالية كبيرة. المرجع CASE-2019-7867 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,بانتظار الرد
CASE-01881,2019-09-24,تسريب معلومات,تحقيق في تواطؤ محتمل بين موردي قطاع الأعمال المؤسسية,تحقيق في مؤشرات تنسيق أسعار بين موردين في منافسة مغلقة. المرجع CASE-2019-5253 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,محال للجهة المختصة
CASE-01882,2019-10-16,مخالفة مشتريات,مخالفة خصوصية في تداول ملفات المنسوبين,تداول ملفات موظفين دون مراعاة ضوابط خصوصية البيانات. المرجع CASE-2019-1050 · الجهة المعنية: الأمانة العامة.,الأمانة العامة,منتهي بتوصيات
CASE-01883,2022-11-24,استخدام غير مصرح للأنظمة,ملخص مواجهة أطراف في الملف رقم MF-2022-466,محضر مواجهة يتضمن إفادات أطراف قد ترتب مسؤولية نظامية. المرجع CASE-2022-8122 · الجهة المعنية: الموارد البشرية.,,بانتظار الرد
CASE-01884,2020-11-28,بلاغ مبلّغ,تحقيق في مخالفة تعاقدية مع شريك تقني عالمي,تحقيق في إخلال ببنود تعاقدية قد يرتب مطالبات مالية كبيرة. المرجع CASE-2020-4406 · الجهة المعنية: الأمانة العامة.,الأمانة العامة,قيد التحقيق
CASE-01885,2023-02-04,إساءة استخدام صلاحيات,قضية تسريب الميزانية الاستراتيجية قبل الاعتماد,تسريب أرقام الميزانية الاستراتيجية إلى جهة خارجية قبل اعتمادها. المرجع CASE-2023-3095 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,محال للجهة المختصة
